room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15437339,2327276,Shared room,,Brighton,13,4.5,1,1.0,36.0,,42.346081,-71.144396,2017-01-14 10:03:00.046752
16125278,48522319,Shared room,,Jamaica Plain,5,4.5,1,1.0,30.0,,42.322029,-71.10405,2017-01-14 10:03:00.039697
1187188,2238969,Entire home/apt,,Jamaica Plain,17,5.0,4,2.0,220.0,,42.306928,-71.107894,2017-01-14 09:55:20.328461
2135451,2152299,Entire home/apt,,Allston,0,0.0,4,1.0,110.0,,42.351546,-71.125582,2017-01-14 09:52:48.578857
3351728,10502779,Entire home/apt,,Beacon Hill,9,5.0,7,5.0,849.0,,42.357131,-71.071314,2017-01-14 09:52:21.666686
15726469,95459395,Entire home/apt,,West End,0,0.0,3,1.0,571.0,,42.364841,-71.06761,2017-01-14 09:52:17.437235
15497266,14785487,Entire home/apt,,Mission Hill,0,0.0,8,3.0,550.0,,42.333686,-71.102842,2017-01-14 09:52:16.482760
14775078,4140161,Entire home/apt,,South Boston Waterfront,0,0.0,6,2.0,599.0,,42.34727,-71.039261,2017-01-14 09:52:16.480371
2214923,9419684,Entire home/apt,,Fenway,1,0.0,5,2.0,603.0,,42.344324,-71.097563,2017-01-14 09:52:14.659969
3359170,25188,Entire home/apt,,Chinatown,1,0.0,4,2.0,399.0,,42.35194,-71.060077,2017-01-14 09:51:36.712083
11585459,53603592,Entire home/apt,,South End,4,3.0,4,1.0,270.0,,42.345928,-71.07398,2017-01-14 09:49:01.851015
13028092,9039817,Entire home/apt,,Mission Hill,10,5.0,3,1.0,191.0,,42.330919,-71.108736,2017-01-14 09:48:19.409228
5412487,246083,Entire home/apt,,Mission Hill,1,0.0,4,2.0,160.0,,42.328496,-71.109033,2017-01-14 09:46:34.254514
11022736,40649306,Entire home/apt,,Allston,1,0.0,3,0.0,75.0,,42.347722,-71.13355,2017-01-14 09:43:56.872023
9969226,274767,Entire home/apt,,Allston,0,0.0,4,1.0,79.0,,42.3491,-71.130987,2017-01-14 09:43:56.864692
11841986,12243051,Entire home/apt,,South End,14,4.0,4,2.0,79.0,,42.344731,-71.070908,2017-01-14 09:43:56.848715
14487262,12243051,Entire home/apt,,Allston,0,0.0,4,2.0,79.0,,42.36358,-71.131505,2017-01-14 09:43:55.575869
12755021,9993095,Entire home/apt,,Allston,1,0.0,3,1.0,65.0,,42.348326,-71.136134,2017-01-14 09:43:55.562062
9531326,1229497,Entire home/apt,,East Boston,0,0.0,3,1.0,72.0,,42.389828,-71.005192,2017-01-14 09:43:55.559433
4936862,2870684,Entire home/apt,,Charlestown,0,0.0,12,5.0,568.0,,42.373657,-71.049446,2017-01-14 09:43:42.712074
743211,2796082,Entire home/apt,,Jamaica Plain,51,5.0,10,4.0,550.0,,42.305813,-71.112597,2017-01-14 09:43:42.699172
10053032,30283594,Entire home/apt,,South Boston Waterfront,4,4.5,6,3.0,519.0,,42.351948,-71.046554,2017-01-14 09:43:42.697000
5652147,352441,Entire home/apt,,Jamaica Plain,3,4.5,7,3.0,300.0,,42.307049,-71.116624,2017-01-14 09:43:33.671257
3808557,19572355,Entire home/apt,,South End,10,5.0,6,2.0,450.0,,42.336505,-71.075696,2017-01-14 09:43:20.680481
228883,25188,Entire home/apt,,Fenway,4,4.5,5,2.0,349.0,,42.343624,-71.097928,2017-01-14 09:43:18.549399
951480,25188,Entire home/apt,,Fenway,1,0.0,4,2.0,349.0,,42.342967,-71.102514,2017-01-14 09:43:18.537316
25142,25188,Entire home/apt,,Fenway,9,4.5,4,2.0,349.0,,42.344865,-71.1026,2017-01-14 09:42:21.981900
54215,25188,Entire home/apt,,Fenway,5,4.0,4,2.0,349.0,,42.343453,-71.101668,2017-01-14 09:40:33.601298
950046,5153431,Entire home/apt,,Jamaica Plain,6,4.5,6,3.0,250.0,,42.311853,-71.109263,2017-01-14 09:40:11.186520
14120558,69410523,Entire home/apt,,Chinatown,0,0.0,4,1.0,250.0,,42.351185,-71.059796,2017-01-14 09:31:36.768210
8814105,4962900,Entire home/apt,,Downtown,22,5.0,7,3.0,181.0,,42.36205,-71.063404,2017-01-14 09:26:46.772819
3369898,17001829,Entire home/apt,,Back Bay,4,4.5,2,1.0,189.0,,42.350541,-71.082512,2017-01-14 09:26:17.840344
4538423,16736927,Entire home/apt,,Jamaica Plain,2,0.0,2,1.0,150.0,,42.311582,-71.104126,2017-01-14 09:25:55.625809
5125723,2914305,Entire home/apt,,Fenway,35,5.0,2,1.0,170.0,,42.344839,-71.089355,2017-01-14 09:25:02.553215
2555771,11474005,Entire home/apt,,Brighton,10,5.0,2,1.0,150.0,,42.359635,-71.14318,2017-01-14 09:22:39.194310
6744795,30283594,Entire home/apt,,Mission Hill,0,0.0,3,1.0,169.0,,42.335159,-71.100325,2017-01-14 09:22:29.508321
14186170,8985714,Entire home/apt,,South Boston,18,5.0,3,1.0,150.0,,42.333454,-71.047894,2017-01-14 09:19:18.407186
13233001,2574884,Entire home/apt,,East Boston,2,0.0,2,1.0,150.0,,42.389443,-71.006274,2017-01-14 09:19:17.346913
583255,306407,Entire home/apt,,Brighton,9,5.0,2,1.0,120.0,,42.341713,-71.148512,2017-01-14 09:18:39.302600
10945774,51673899,Entire home/apt,,Beacon Hill,2,0.0,2,0.0,129.0,,42.357095,-71.069192,2017-01-14 09:18:17.430302
16067773,1550610,Entire home/apt,,Longwood Medical Area,0,0.0,3,1.0,130.0,,42.343037,-71.105007,2017-01-14 09:18:01.153831
10051003,18202088,Entire home/apt,,Mission Hill,3,3.0,2,1.0,116.0,,42.333202,-71.101465,2017-01-14 09:17:07.484288
14421197,4962900,Entire home/apt,,Downtown,2,0.0,5,2.0,119.0,,42.365281,-71.060786,2017-01-14 09:17:04.225385
14423116,4962900,Entire home/apt,,West End,0,0.0,5,2.0,119.0,,42.362532,-71.065104,2017-01-14 09:16:50.883148
5774484,1772124,Entire home/apt,,Beacon Hill,9,5.0,2,1.0,110.0,,42.359698,-71.071122,2017-01-14 09:16:50.876951
11345691,13207418,Entire home/apt,,Beacon Hill,0,0.0,2,0.0,119.0,,42.358111,-71.06991,2017-01-14 09:16:50.873598
13912470,82529160,Entire home/apt,,Back Bay,11,5.0,4,1.0,105.0,,42.349965,-71.084389,2017-01-14 09:16:30.061252
