room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
1648950,1309,1369968,Entire home/apt,,Boston,,Beacon Hill,114,4.5,2,1.0,,250.0,,Beautiful 1 Bedroom in Beacon Hill,2017-06-10 12:57:05.511298,42.359279,-71.069234,0101000020E61000005C7171546EC451C0DE91B1DAFC2D4540
18094162,1309,22591136,Entire home/apt,,Boston,,Downtown,5,4.5,4,1.0,,285.0,,Modern Downtown APT Next To Boston Common,2017-06-10 12:57:05.508323,42.353074,-71.064152,0101000020E6100000467EFD101BC451C0B1886187312D4540
17559756,1309,118122992,Entire home/apt,,Boston,,Chinatown,6,5.0,5,2.0,,295.0,,"NEW 3rd Floor, 2BR Downtown Boston",2017-06-10 12:57:05.505999,42.350259,-71.061605,0101000020E610000049111956F1C351C099107349D52C4540
17134234,1309,1386951,Entire home/apt,,Boston,,Back Bay,13,4.0,2,1.0,,250.0,,Back Bay One Bed-Walk to Fenway & Pru! (47M#2),2017-06-10 12:57:05.503525,42.350695,-71.0884,0101000020E6100000D93D7958A8C551C074EFE192E32C4540
7965521,1309,22110106,Entire home/apt,,Boston,,South End,49,5.0,2,1.0,,215.0,,South End 1 Bedroom PERFECTION!,2017-06-10 12:57:05.500629,42.344507,-71.073896,0101000020E610000089D349B6BAC451C01D1F2DCE182C4540
14914016,1309,93690175,Entire home/apt,,Boston,,South Boston,33,5.0,4,2.0,,245.0,,Modern 2BD/2BA Condo w/ Roof Deck & Water Views,2017-06-10 12:57:05.497951,42.33319,-71.043135,0101000020E610000008944DB9C2C251C058AD4CF8A52A4540
6544642,1309,21895391,Entire home/apt,,Boston,,South Boston,23,4.5,2,0.0,,225.0,,Beautiful Studio in South Boston,2017-06-10 12:57:05.495822,42.334981,-71.034451,0101000020E61000002194F77134C251C004E44BA8E02A4540
15374913,1309,51812879,Entire home/apt,,Boston,,East Boston,80,5.0,5,2.0,,229.0,,Bright Modern Home - Near Airport,2017-06-10 12:57:05.492868,42.376936,-71.033828,0101000020E61000001A6CEA3C2AC251C0B05758703F304540
4879579,1309,4776690,Entire home/apt,,Boston,,Dorchester,57,5.0,9,3.0,,264.0,,Stunning New Unit w/ 2 Parking Spots!,2017-06-10 12:57:03.904570,42.317923,-71.054966,0101000020E610000015191D9084C351C0B7D26BB3B1284540
6685682,1309,814298,Entire home/apt,,Boston,,Back Bay,15,4.5,4,1.0,,259.0,,Amazing Newbury St 1 bed/ 1 bath - #3,2017-06-10 12:57:03.884579,42.348,-71.085522,0101000020E6100000AA45443179C551C0068195438B2C4540
