"room_id","host_id","room_type","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","last_modified"
21337,25188,"Entire home/apt","Back Bay",12,4.5,4,2,329,42.346425,-71.07827,2017-07-10 18:10:52
2872717,9419684,"Entire home/apt","Fenway",1,0,5,2,324,42.343896,-71.098781,2017-07-10 18:10:52
15231923,95459395,"Entire home/apt","Fenway",0,0,3,1,422,42.343481,-71.100628,2017-07-10 18:10:44
6268395,30283594,"Entire home/apt","Fenway",0,0,3,1,411,42.342971,-71.099812,2017-07-10 18:10:41
8141545,30283594,"Entire home/apt","Fenway",0,0,3,1,399,42.345115,-71.10038,2017-07-10 18:10:41
56937,25188,"Entire home/apt","Back Bay",10,4.5,4,2,399,42.346543,-71.078531,2017-07-10 18:10:25
10945558,51673899,"Entire home/apt","Back Bay",0,0,6,2,349,42.346686,-71.079573,2017-07-10 18:09:30
3873776,8924578,"Entire home/apt","Beacon Hill",7,4,4,3,325,42.357256,-71.07111,2017-07-10 18:07:57
1031655,25188,"Entire home/apt","West End",0,0,6,3,389,42.364579,-71.069824,2017-07-10 18:07:57
14205208,4061992,"Entire home/apt","Beacon Hill",4,0,5,2,400,42.360524,-71.068528,2017-07-10 18:07:57
10118379,30283594,"Entire home/apt","West End",0,0,3,1,319,42.36319,-71.069105,2017-07-10 18:07:36
950046,5153431,"Entire home/apt","Jamaica Plain",6,4.5,6,3,250,42.311853,-71.109263,2017-07-10 18:07:08
5932267,183065,"Entire home/apt","South End",1,0,2,1,250,42.33666,-71.075024,2017-07-10 18:04:44
4261781,17814164,"Entire home/apt","South Boston",12,4.5,4,2,265,42.337648,-71.045008,2017-07-10 17:56:18
19453549,95459395,"Entire home/apt","Mission Hill",0,0,5,2,190,42.329983,-71.110014,2017-07-10 17:50:41
19456107,95459395,"Entire home/apt","Mission Hill",0,0,5,2,185,42.330227,-71.111333,2017-07-10 17:50:27
19455818,95459395,"Entire home/apt","Mission Hill",0,0,5,2,189,42.330445,-71.110215,2017-07-10 17:50:27
10470115,51673899,"Entire home/apt","Beacon Hill",6,4.5,3,1,199,42.359098,-71.071248,2017-07-10 17:48:19
14417315,88703734,"Entire home/apt","Downtown",6,5,2,1,199,42.358839,-71.062293,2017-07-10 17:46:40
12383703,30283594,"Entire home/apt","Downtown",7,4.5,5,2,182,42.352114,-71.063475,2017-07-10 17:46:39
16583728,86781391,"Entire home/apt","Mattapan",0,0,2,1,150,42.273656,-71.077348,2017-07-10 17:45:48
716245,3690995,"Entire home/apt","Brighton",86,4.5,5,2,145,42.34502,-71.168142,2017-07-10 17:45:26
5412487,246083,"Entire home/apt","Mission Hill",1,0,4,2,160,42.328496,-71.109033,2017-07-10 17:45:19
12535687,30349101,"Entire home/apt","Roslindale",9,5,3,0,145,42.283891,-71.131408,2017-07-10 17:45:18
15052874,94935625,"Entire home/apt","Beacon Hill",0,0,3,0,169,42.359741,-71.070345,2017-07-10 17:40:10
10835494,8207666,"Entire home/apt","Brighton",15,5,4,2,175,42.339996,-71.153516,2017-07-10 17:36:46
10831254,1877637,"Entire home/apt","South End",0,0,2,0,140,42.339762,-71.080276,2017-07-10 17:36:24
9970895,51173591,"Entire home/apt","South End",10,5,2,1,179,42.337163,-71.07516,2017-07-10 17:36:24
11863590,44013653,"Entire home/apt","South Boston Waterfront",4,5,4,1,149,42.347727,-71.038108,2017-07-10 17:33:20
2529318,12952234,"Entire home/apt","Mattapan",33,5,5,2,150,42.273669,-71.077094,2017-07-10 17:30:13
7273513,38081675,"Entire home/apt","Roxbury",2,0,3,1,139,42.324579,-71.089639,2017-07-10 17:30:03
12089399,30283594,"Entire home/apt","Mission Hill",1,0,3,1,134,42.334973,-71.099957,2017-07-10 17:29:43
1183032,6471589,"Entire home/apt","South End",23,4.5,2,1,135,42.34122,-71.07533,2017-07-10 17:29:41
9770477,17194624,"Entire home/apt","Fenway",21,4,2,0,125,42.350479,-71.093757,2017-07-10 17:29:41
5075267,814298,"Entire home/apt","South End",39,4,2,0,134,42.340795,-71.080704,2017-07-10 17:29:39
16980401,38286738,"Entire home/apt","Fenway",2,0,4,1,130,42.349903,-71.094376,2017-07-10 17:29:04
14522631,70833557,"Entire home/apt","South End",69,5,4,1,139,42.339143,-71.07979,2017-07-10 17:28:26
17496201,1444340,"Entire home/apt","Downtown",1,0,2,0,133,42.355656,-71.061651,2017-07-10 17:28:26
8224214,29066313,"Entire home/apt","Brighton",80,4.5,6,3,121,42.340571,-71.151305,2017-07-10 17:28:15
9169272,47719377,"Entire home/apt","Beacon Hill",1,0,2,1,130,42.359641,-71.065521,2017-07-10 17:28:12
1497879,2776892,"Entire home/apt","East Boston",382,4.5,2,1,114,42.366885,-71.036151,2017-07-10 17:25:44
12997334,24584254,"Entire home/apt","Allston",9,5,4,1,99,42.364536,-71.11838,2017-07-10 17:25:11
17495492,21184200,"Entire home/apt","Beacon Hill",10,4.5,2,0,98,42.359154,-71.066616,2017-07-10 17:25:06
2837932,14517564,"Entire home/apt","Back Bay",0,0,2,0,70,42.345003,-71.080106,2017-07-10 17:24:49
7007801,36737151,"Entire home/apt","Back Bay",25,4,3,1,72,42.34964,-71.088342,2017-07-10 17:24:49
13028097,33694027,"Entire home/apt","Allston",1,0,2,0,71,42.362407,-71.128747,2017-07-10 17:24:49
9969226,274767,"Entire home/apt","Allston",0,0,4,1,79,42.3491,-71.130987,2017-07-10 17:24:49
16367520,68597467,"Entire home/apt","Beacon Hill",4,4,4,2,78,42.361025,-71.067008,2017-07-10 17:24:47
19769375,139544483,"Entire home/apt","Allston",0,0,2,1,70,42.351226,-71.127784,2017-07-10 17:24:45
13046581,19488432,"Entire home/apt","West Roxbury",48,5,5,2,69,42.260901,-71.157742,2017-07-10 17:24:41
19219071,133217709,"Entire home/apt","West Roxbury",2,0,2,0,55,42.274425,-71.149689,2017-07-10 17:24:38
19330793,57925675,"Entire home/apt","Jamaica Plain",3,5,2,1,60,42.316137,-71.112888,2017-07-10 17:24:38
12972378,71380118,"Entire home/apt","Fenway",1,0,4,1,4000,42.347934,-71.09758,2017-07-10 17:24:35
18765384,130566457,"Entire home/apt","Downtown",0,0,8,4,3995,42.360557,-71.047811,2017-07-10 17:24:35
12679021,38001139,"Entire home/apt","South Boston Waterfront",0,0,4,2,3000,42.348358,-71.039875,2017-07-10 17:24:35
18154248,10014745,"Entire home/apt","Downtown",0,0,16,1,1299,42.36038,-71.059601,2017-07-10 17:24:34
17472272,4434391,"Entire home/apt","West Roxbury",0,0,14,6,1100,42.291034,-71.141995,2017-07-10 17:24:34
8303267,4552954,"Entire home/apt","South End",3,5,10,5,1400,42.342415,-71.074519,2017-07-10 17:24:34
19008735,151592,"Entire home/apt","Beacon Hill",0,0,12,4,1200,42.357773,-71.072134,2017-07-10 17:24:34
16878187,21609039,"Entire home/apt","Roxbury",1,0,8,4,1000,42.340678,-71.081932,2017-07-10 17:24:34
15726711,95459395,"Entire home/apt","West End",0,0,5,2,800,42.363231,-71.067036,2017-07-10 17:24:33
15190108,95459395,"Entire home/apt","South Boston Waterfront",0,0,7,3,720,42.352244,-71.045823,2017-07-10 17:24:33
19590968,95459395,"Entire home/apt","Jamaica Plain",0,0,5,2,560,42.328612,-71.112244,2017-07-10 17:24:26
10052920,30283594,"Entire home/apt","South Boston Waterfront",0,0,7,3,617,42.351325,-71.046397,2017-07-10 17:24:26
18789646,51673899,"Entire home/apt","Back Bay",0,0,8,3,529,42.353772,-71.072695,2017-07-10 17:24:26
